120000	124500	91.111	135	120730	120864	124519	124646
555500	560500	96.875	192	556306	556497	560585	560776
556000	560500	90.111	718	556306	556999	560585	561301
556500	561000	90.547	804	556721	557496	561000	561800
556500	561500	94.059	303	557198	557496	561500	561800
557000	561500	93.831	308	557198	557501	561500	561805
784000	793000	91.304	115	784595	784709	793999	793888
784500	792500	91.000	100	785193	785292	793482	793384
784500	793500	92.271	207	784504	784709	794091	793888
784500	794000	93.478	92	784504	784594	794091	794000
785000	792500	91.000	100	785193	785292	793482	793384
785000	793000	91.000	100	785193	785292	793482	793384
791500	798000	98.830	171	792305	792475	798999	798829
791500	798500	99.582	479	791997	792475	799307	798829
791500	799000	100.000	308	791997	792304	799307	799000
792000	798000	98.830	171	792305	792475	798999	798829
792000	798500	99.580	476	792000	792475	799304	798829
792000	799000	100.000	305	792000	792304	799304	799000
797500	803500	100.000	70	798430	798499	804499	804430
797500	804000	100.000	93	798407	798499	804522	804430
798000	803500	97.902	143	798430	798572	804499	804357
798000	804000	98.193	166	798407	798572	804522	804357
976000	981000	94.444	90	976910	976999	981565	981477
976000	981500	94.030	67	976910	976976	981565	981500
976500	981500	94.030	67	976910	976976	981565	981500
