120730, 120864, 124519, 124646, 134
556306, 557501, 560585, 561805, 1195
784595, 784709, 793999, 793888, 114
792305, 792475, 798999, 798829, 170
798430, 798499, 804499, 804430, 69
976910, 976999, 981565, 981477, 89
1097452, 1098449, 1101888, 1102882, 997
1453991, 1454499, 1459296, 1459807, 508
1454500, 1454608, 1459808, 1459919, 108
1456870, 1457020, 1462583, 1462733, 150
1526159, 1526757, 1535128, 1535726, 598
1715280, 1715739, 1720502, 1720961, 459
1717000, 1717151, 1722348, 1722499, 151
1961255, 1961498, 1971499, 1971253, 243
1963722, 1963999, 1970449, 1970169, 277
2062886, 2062972, 2070166, 2070252, 86
2070357, 2070499, 2075001, 2075143, 142
2496910, 2496992, 2502351, 2502433, 82
2719185, 2719409, 2726727, 2726503, 224
2720418, 2720999, 2725499, 2724916, 581
3393639, 3393723, 3397639, 3397724, 84
3559694, 3559775, 3565333, 3565415, 81
3746138, 3746390, 3756042, 3756294, 252
3807305, 3807688, 3812259, 3812642, 383
3949873, 3949999, 3955000, 3955126, 126
4203211, 4203999, 4209071, 4209861, 788
4205000, 4205079, 4210920, 4210999, 79
4298834, 4298909, 4305500, 4305575, 75
4300881, 4300999, 4307511, 4307629, 118
4302578, 4302667, 4309409, 4309499, 89
4685788, 4685999, 4690610, 4690822, 211
4687693, 4687898, 4692520, 4692732, 205
4690135, 4690426, 4694905, 4695197, 291
4863240, 4863317, 4869514, 4869591, 77
4869218, 4869499, 4875840, 4876119, 281
4873861, 4873934, 4878000, 4878073, 73
4873000, 4873132, 4882867, 4882999, 132
4874071, 4874103, 4883909, 4883942, 32
4875840, 4875999, 4881583, 4881745, 159
4876000, 4876198, 4881746, 4881945, 198
4877280, 4877499, 4883000, 4883219, 219
4877597, 4877792, 4883304, 4883499, 195
4879044, 4879914, 4884506, 4885375, 870
4919829, 4919999, 4924933, 4925103, 170
4920880, 4920996, 4926012, 4926128, 116
5562586, 5562810, 5566500, 5566724, 224
5562604, 5562830, 5572749, 5572977, 226
5563386, 5564385, 5573380, 5574388, 999
