120000	124500	91.111	135
555000	559500	80.147	544
555000	560000	85.185	351
555500	560000	87.576	330
555500	560500	96.875	192
556000	560500	90.111	718
556000	561000	83.498	303
556500	561000	90.547	804
556500	561500	94.059	303
557000	561500	93.831	308
783500	793500	83.019	212
784000	793000	91.304	115
784000	793500	83.591	518
784000	794000	78.965	599
784500	792500	91.000	100
784500	793000	86.400	250
784500	793500	92.271	207
784500	794000	93.478	92
785000	792500	91.000	100
785000	793000	91.000	100
791500	798000	98.830	171
791500	798500	99.582	479
791500	799000	100.000	308
792000	798000	98.830	171
792000	798500	99.580	476
792000	799000	100.000	305
797500	803500	100.000	70
797500	804000	100.000	93
798000	803500	97.902	143
798000	804000	98.193	166
839500	844000	73.585	212
839500	844500	73.585	212
839500	847500	74.879	207
839500	848000	74.879	207
840000	844500	73.585	212
840000	847500	74.879	207
840000	848000	74.879	207
842000	846500	87.500	104
976000	981000	94.444	90
976000	981500	94.030	67
976500	981000	84.289	401
976500	981500	94.030	67
976500	982000	81.356	118
976500	982500	83.051	295
976500	983000	83.051	295
977000	981500	84.286	70
977000	982000	84.286	70
977000	982500	81.498	227
977000	983000	81.498	227
1089500	1097500	84.400	250
1089500	1098000	84.400	250
1090000	1097500	82.196	337
1090000	1098000	80.198	404
1095000	1102000	84.000	275
1095000	1102500	84.000	275
1095500	1102000	85.081	248
1095500	1102500	85.081	248
1097000	1101500	90.975	554
1097000	1102000	92.534	442
1097500	1102000	90.423	898
1097500	1102500	88.191	398
1098000	1102500	88.191	398
1453000	1458000	89.441	161
1453000	1458500	82.278	316
1453500	1458000	89.375	160
1453500	1458500	95.610	205
1453500	1459000	97.856	513
1453500	1459500	99.351	308
1454000	1458500	95.876	194
1454000	1459000	97.720	614
1454000	1459500	85.885	836
1454000	1460000	78.594	313
1454500	1459000	96.429	112
1454500	1459500	76.934	724
1454500	1460000	77.024	531
1456000	1461500	89.109	101
1456000	1462000	92.308	130
1456000	1462500	92.308	130
1456500	1461500	91.954	87
1456500	1462000	90.728	151
1456500	1462500	90.728	151
1525500	1534500	100.000	341
1525500	1535000	100.000	341
1526000	1534500	100.000	372
1526000	1535000	100.000	599
1526000	1535500	100.000	227
1526500	1534500	100.000	31
1526500	1535000	100.000	258
1526500	1535500	100.000	227
1713500	1721500	84.328	134
1713500	1722000	83.562	146
1714000	1721500	84.328	134
1714000	1722000	83.562	146
1714500	1719500	80.791	354
1714500	1720000	84.549	576
1714500	1720500	90.909	220
1715000	1719500	80.208	288
1715000	1720000	86.267	750
1715000	1720500	90.217	460
1715500	1721000	85.232	237
1715500	1721500	84.091	132
1716000	1721000	85.232	237
1716000	1721500	84.311	631
1716000	1722000	87.535	353
1716500	1721000	88.095	84
1716500	1721500	88.557	603
1716500	1722000	86.245	807
1717000	1721500	94.079	152
1717000	1722000	85.941	441
1718000	1723500	88.341	223
1718000	1724000	85.032	314
1718500	1723500	88.341	223
1718500	1724000	84.776	335
1960500	1970500	98.381	247
